
ABO and Rh blood type distribution by country (population averages)
Country	Population	O+	A+	B+	AB+	O-	A-	B-	AB-
Italy	61,261,254	40.0%	36.0%	7.5%	2.5%	7.0%	6.0%	1.5%	0.5%
Ivory Coast	23,869,656	46.5%	22.5%	22.5%	4.3%	2.0%	1.0%	1.0%	0.2%
Jamaica	2,889,187	47.0%	23.0%	20.0%	3.0%	3.5%	2.0%	1.0%	0.5%
Japan	127,368,088	29.9%	39.8%	19.9%	9.9%	0.15%	0.2%	0.1%	0.05%
Kazakhstan	18,431,447	30.7%	29.8%	24.2%	8.3%	2.3%	2.2%	1.8%	0.7%
Kenya	40,863,000	45.6%	25.2%	21.1%	4.2%	1.8%	1.0%	0.9%	0.02%
Korea	73,000,000	36.6%	32.8%	21.0%	9.0%	0.4%	0.2%	0.09%	0.03%
Latvia	1,944,122	30.6%	31.0%	17.0%	6.0%	5.4%	6.0%	3.0%	1.0%
Lebanon	4,292,000	38.4%	32.3%	9.4%	3.2%	7.7%	6.5%	1.7%	0.7%
Libya	6,422,772	42.64%	28.86%	11.16%	4.5%	6.26%	4.24%	1.64%	0.67%
Lithuania	2,827,573	36.0%	33.0%	11.0%	4.0%	7.0%	6.0%	2.0%	1.0%
Luxemburg	587,297	35.0%	37.0%	9.0%	4.0%	6.0%	6.0%	2.0%	1.0%
Macao	606,413	41.5%	26.1%	25.4%	6.3%	0.33%	0.17%	0.15%	0.05%
Macedonia	2,083,690	29.36%	38.45%	13,08%	6.54%	3.27%	5.09%	2.36%	1.09%
Malaysia	28,334,135	34.32%	30.35%	27.36%	7.46%	0.17%	0.15%	0.14%	0.04%
Mauritania	3,359,185	46.3%	26.68%	17.46%	3.85%	2.8%	1.6%	1.1%	0.2%
Mauritius	1,267,303	38.3%	26.0%	25.0%	6.7%	1.7%	1.0%	1.0%	0.3%
Mexico	108,396,211	55.79%	29.9%	8.0%	1.63%	2.7%	1.5%	0.4%	0.08%
Republic of Moldova	4,043,722	28.5%	31.8%	17.6%	7.0%	5.0%	6.0%	3.0%	1.1%
Mongolia	3,179,997	56.4%	27.7%	10.9%	4.96%	0.6%	0.3%	0.1%	0.04%
Morocco	36,328,588	42.3%	29.8%	14.3%	4.1%	4.5%	3.1%	1.5%	0.4%
Myanmar	53,507,932	35.7%	23.8%	32.7%	6.95%	0.3%	0.2%	0.3%	0.05%
Nepal	29,853,000	35.2%	28.3%	27.1%	8.6%	0.3%	0.2%	0.2%	0.1%
Netherlands	16,715,999	39.5%	35.0%	6.7%	2.5%	7.5%	7.0%	1.3%	0.5%
New Zealand	4,213,418	38.0%	32.0%	9.0%	3.0%	9.0%	6.0%	2.0%	1.0%
Nigeria	152,217,341	51.3%	22.4%	20.7%	2.6%	1.6%	0.7%	0.6%	0.1%
Norway	4,660,539	34.0%	42.5%	6.8%	3.4%	6.0%	7.5%	1.2%	0.6%
Pakistan	180,440,005	24.63%	20.6%	34.43%	9.52%	4.17%	2.66%	3.57%	0.45%
Papua New Guinea	7,952,511	48.0%	37.2%	9.6%	2.8%	1.0%	0.8%	0.4%	0.2%
Peru	29,907,003	70.0%	18.4%	7.8%	1.6%	1.4%	0.5%	0.28%	0.02%
Philippines	92,337,852	36.9%	28.9%	26.9%	6.97%	0.1%	0.1%	0.1%	0.03%
Poland	38,482,919	26.6%	31.26%	15.73%	6.75%	6.51%	7.65%	3.85%	1.65%
Portugal	10,707,924	36.2%	39.8%	6.6%	2.9%	6.0%	6.6%	1.1%	0.5%
Romania	19,237,087	28.0%	37.0%	14.0%	7.0%	5.0%	6.0%	2.0%	1.0%
Russia	143,300,000	46.0%	31.0%	9.0%	2.1%	6.0%	4.0%	1.0%	0.9%
Saudi Arabia	28,686,633	48.0%	24.0%	17.0%	4.0%	4.0%	2.0%	1.0%	0.3%
Serbia	7,224,000	31.92%	35.28%	12.6%	4.2%	6.08%	6.72%	2.4%	0.8%
Singapore	5,784,819	43.6%	23.9%	24.4%	6.0%	0.9%	0.7%	0.4%	0.1%
Slovakia	5,432,265	27.2%	35.7%	15.3%	6.8%	4.8%	6.3%	2.7%	1.2%
Slovenia	2,071,258	31.0%	33.0%	12.0%	6.0%	7.0%	7.0%	3.0%	1.0%
South Africa	49,320,000	39.0%	32.0%	12.0%	3.0%	7.0%	5.0%	2.0%	1.0%
Spain	40,525,002	36.0%	34.0%	8.0%	2.5%	9.0%	8.0%	2.0%	0.5%
Sudan	40,827,975	48.0%	27.7%	15.2%	2.8%	3.5%	1.8%	0.8%	0.2%
Sweden	9,059,651	32.0%	37.0%	10.0%	5.0%	6.0%	7.0%	2.0%	1.0%
Switzerland	8,000,000	26.0%	37.0%	13.0%	7.0%	5.0%	6.0%	4.0%	2.0%
Syria	22,530,746	43.0%	30.0%	14.0%	3.7%	5.0%	3.0%	1.0%	0.3%
Taiwan	23,234,936	43.9%	25.9%	23.9%	6.0%	0.1%	0.1%	0.01%	0.02%
Thailand	66,720,153	40.8%	16.9%	36.8%	4.97%	0.2%	0.1%	0.2%	0.03%
Turkey	76,805,524	29.8%	37.8%	14.2%	7.2%	3.9%	4.7%	1.6%	0.8%
Uganda	43,276,492	43.7%	39.0%	10.7%	3.9%	1.3%	1.0%	0.3%	0.1%
Ukraine	44,404,078	32.0%	34.0%	15.0%	5.0%	5.0%	6.0%	2.0%	1.0%
United Arab Emirates	4,707,000	44.1%	21.9%	20.8%	4.3%	4.3%	2.1%	2.0%	0.4%
United Kingdom	61,113,205	37.0%	35.0%	8.0%	3.0%	7.0%	7.0%	2.0%	1.0%
United States	307,212,123	37.4%	35.7%	8.5%	3.4%	6.6%	6.3%	1.5%	0.6%
Venezuela	32,011,082	58.5%	28.3%	5.3%	1.8%	3.5%	1.7%	0.7%	0.2%
Vietnam	95,414,640	41.7%	21.9%	30.8%	4.98%	0.3%	0.1%	0.2%	0.02%
Yemen	27,580,000	47.84%	27.5%	15.32%	2.14%	3.66%	2.1%	1.17%	0.16%
Zimbabwe	16,642,880	63.3%	18.5%	14.6%	0.99%	1.7%	0.5%	0.4%	0.01%
