Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
Spain,"46,070,163",35.00%,36.00%,8.00%,2.50%,9.00%,7.00%,2.00%,0.50%
Sudan,"40,827,975",48.00%,27.70%,15.20%,2.80%,3.50%,1.80%,0.80%,0.20%
Sweden,"9,920,843",32.00%,37.00%,10.00%,5.00%,6.00%,7.00%,2.00%,1.00%
Switzerland,"8,454,321",35.00%,40.00%,7.00%,3.00%,6.00%,7.00%,1.00%,1.00%
Syria,"18,920,698",43.00%,30.00%,14.00%,3.70%,5.00%,3.00%,1.00%,0.30%
Taiwan,"23,234,936",43.90%,25.90%,23.90%,6.00%,0.17%,0.10%,0.01%,0.02%
Thailand,"68,298,027",40.80%,16.90%,36.80%,4.97%,0.20%,0.10%,0.20%,0.03%
Turkey,"80,420,065",29.80%,37.80%,14.20%,7.20%,3.90%,4.70%,1.60%,0.80%
Uganda,"43,276,492",43.70%,39.00%,10.70%,3.90%,1.30%,1.00%,0.30%,0.10%
Ukraine,"44,404,078",32.00%,34.00%,15.00%,5.00%,5.00%,6.00%,2.00%,1.00%
United Arab Emirates,"3,398,017",44.10%,21.90%,20.90%,4.30%,4.30%,2.10%,2.00%,0.40%
United Kingdom,"65,512,375",38.00%,32.00%,8.00%,3.00%,9.00%,7.00%,2.00%,1.00%
US,"326,481,533",37.40%,35.70%,8.50%,3.40%,6.60%,6.30%,1.50%,0.60%
Venezuela,"32,011,082",58.30%,28.20%,5.60%,1.90%,3.70%,1.80%,0.40%,0.10%
Vietnam,"95,414,640",41.70%,21.90%,30.80%,4.98%,0.30%,0.10%,0.20%,0.02%
Yemen,"29,246,429",47.84%,27.50%,15.32%,2.14%,3.66%,2.10%,1.17%,0.16%
Zimbabwe,"16,912,880",63.30%,18.50%,14.60%,0.99%,1.70%,0.50%,0.40%,0.01%
